class,text
0,จะบอกว่า คนตาตี่ ตาเล็กเล่นไม่ได้นะฮ้า แอพมันหาว่าเราหลบตา โอ้ยจะบ้าตาย คนไทยไม่ได้มีแต่คนตาโตฮะ
0,เล่นถึงด่านที่20เราก็รอคลิปเล่นแต่ตรงจอเล่นคลิปเป็นจอดำสักพักปรับเราแพ้ซะงั้น คือราย
0,สองวิก็ปรับแพ้ฟาวอ่ะ ตึงกว่านี้ก็รูปปั้นล่ะ ไม่ยิ้มแต่แพ้ฟางตลอด ร้องไห้หนักมาก
0,น่าจะทำการลองใช้โปรแกรมให้ก่อนนะค่ะ จะล็อกอินผ่านfacebookเชื่อมต่อยังไม่ได้เลยค่ะ ยังไม่ผ่านนะ
0,คืออยู่นิ่งๆ เอาขาตั้งกล้องมาตั้งเอาหน้าตรง แต่เล่นในไอแพตจอมันใหญ่พอจะมองลงมากดปุ่มที่บอกให้จิ้มเร็ว ก็แพ้เลย คือหลบตาหรอคะ
0,เรายังไม่ได้หลบตาแสงก็โอเคดันขึ้นฟาว
0,เล่นไปแป้ปๆก็เล่นไม่ได้ อะไรคือหัวใจหมด ต้องการอะไร 555
0,แอดคะ ทำไมโหลดมาแล้วล็อกอินไม่ได้คะ ทั้งสองระบบเลย
0,ล่นถึงด่าน49 อยู่ๆแพ้ฟาวล์ ทั้งๆที่ก็มุมเดิม แสงเดิม หน้าเดิม สรุปคะแนนได้46ด่าน งงเด้อ
0,แอดค่ะคือเราเล่นกลั้นยี้มแล้วทำไมคะแนนมันไม่ขึ้นค่ะ
0,คือ เซนเซอร์ที่จับตรงตาอ่ะ ตามันอยู่ห่างกันมาก หนูไม่ได้เป็นคนตาห่างขนาดนั้นง่ะแอดจ้า ละก็ พอเริ่มเกม ช่องที่เอาไว้ให้เราเห็นหน้าเราอ่ะ มันก็เล็กเกิน พอมันเล็กเราก็มองไม่เห็นเซนเซอร์ใช่ม่ะ พอมองไม่เห็นเซนเซอร์เราก็วางหน้าไม่ตรงเซนเซอร์ พอวางหน้าไม่ตรงเกมก็จบ ทั้งๆที่ไม่ได้ขำหรือหลบตาเลยยยยยย เจอกันบ่อย(ในฝัน)จนไม่เขินล่ะ อิอิ อุ้ย รองเท้าใครคะมารับกลับไปด้วย
0,ถ้าจะมี delivery น้อยขนาดนี้ อย่าเปิดเลย
1,ติดปัญหาตรงที่ว่า หนูเล่นแล้วมันยิ้มไม่หุบอ่ะค่ะแอด หนูบิดจนเกรียวแล้วอ่าค่ะ
1,โอ้ย เเค่เห็นพี่เตนล์ก้อมีความสุขแล้วค่า ลงอีกเยอะๆได้ไหม
1,กลั้นไม่ได้ค่ะ หน้าน้องเตนล์ขึ้นมา พี่ก็ยิ้มแก้มบานหุบไม่อยู่แล้วค่ะ นานๆลูกบ่าวจะมาที อิพี่นี่ฟื้นเลย
1,แค่เห็นเตนล์ก็กลั้นไม่อยู่แล้ว
1,กลั้นไม่อยู่ตั้งแต่เห็นพรีเซ็นเตอร์แล้วค่ะ
1,โอ้ย โดยอง ของน้อง รักนะคะ
1,เห็นพี่เค้ายิ้ม nctzen คนนี้ก็ยิ้มยาม ละลายเลย
1,ไห้ตายยังไงก็กลั้นไม่ได้หรอกค่ะ
1,ตอนเล่นคือหน้าเกร็งมาก กลัวโดนแพ้ฟาล์ว
1,เห็นพีเซ็นต์เตอร์ก็ละลายแล้วจร้า
1,คิดว่าจะไม่กินเนื้อย่างอีกเลยชั่วชีวิตก็น่าจะยิ้มไม่ออกละ 5555
1,เเพ้ตอนnctโผล่มาตลอดเลยค่ะเเอด5555555
1,กลั้นยิ้มหนักมากค่าา 5555555555
1,อร่อยจริงเบอร์เกอร์ร้านนี้ ชิ้นใหญ่ จุใจ อิ่มในชิ้นเดียว
