class,message
0,พนักงานสาขาร้านริเวอร์ไซด์พลาซ่าแย่มาก ขนาดสั่งอยุ่ตรงข้างหน้ายังไม่สนใจเลยมัวยืนเล่นโทรศัพท์
0,ห่วยมาก ๆ เลยครับ คุณภาพแย่ลงเรื่อย ๆ เสียดายเงิน เสียดายปากที่รับประทานเข้าไป
0,บริการจัดส่งยอดแย่อันดับติดลบเลยมาช้ามากๆที่ระนองประมาณ40นาทีขึ้นไปอ้างว่าเข้าไม่ถูกซะงั้น
0,พิซ่าแป้งบางกรอบเปลี่ยนมาเป้นแป้งพาย ไม่มีความอร่อย ไม่กรอบ อมน้ำมัน ผิดหวังสุดๆ
0,"พอโทรสั่ง_บอกโปรนี้ต้องสั่งทางเวปแม่งหลายช่องทางแต่ไม่ใช่จะใช้ได้ทุกช่องทาง"
0,โทรสั่งวันนี้หน้าน้อยมากๆๆๆๆๆ เหมือนกินหนมปังเปล่าๆๆกับซอส
0,ซื้อไอสครีมที่ร้านหน้าสุขุวิท71 ได้ไอสครีมเน่า
0,"ทางร้านคุณรวมทั้งเจ้าหน้าที่คอลเซนเตอร์ทำงานได้แย่มากไม่แคร์ความรู้สึกลูกค้าเลย เราสั่งพิซซ่า ไปตั้งแต่11.50 ของวันที่ 12.4.2560 รับออเดอร์เรียบร้อยแจ้งว่า30 นาทีจะเข้ามาส่งเราก้อรอจนเวลา 12.50 มีเจ้าหน้าที่ติดต่อมาว่ากำลังจะเข้ามาส่งจากเซนทรัลชิดลมมาส่งตรงราชดำริ ไม่น่าเกิน 15 นาที แต่เราทิ้งระยะให้เราโทรตามอีกครั้งที่เบอร์เดิมที่โทรเข้ามาว่าจะเข้ามาส่งพิซซ่าเวลา 13.20 นาที มีเจ้าหน้าที่รับสายและแจ้งว่าไม่มีออเดอร์ของเรา คือเรางงมากเมื่อครึ่ง ชม ที่แล้ว แจ้งว่ากำลังเข้ามาส่งโทรไปอีกทีบอกไม่มีออเดอร์ และคือรอมา 1.30 ชม คือพวกคุณทำอะไรกันอยุ่ เราโทรตามที่call center ที่เบอร์1112 แต่ไม่ได้รับช่วยเหลือใดๆทั้งสิ้น เราโทรไปที่สาขาเซลทรัลชิดลมอีกครั้งเพื่อติดตามก้อยังแจ้งว่าไม่มีออเดอร์ของเรา จนเราแจ้งยกเลิกทางคุณแจ้งมาว่า ค่ะ.ครับ แค่นี้คือจบใช่มั๊ย ความรู้สึกลูกค้าที่ทนรอกินซิซซ่าคุณสิ่งที่จะได้กลับมาคือเอ่ออ ยกเลิกก้อยกเลิกไปแบบนี้หรอ ปกติเราสั่งพิซซ่าคุณบ่อยมาก แต่นี่จะเป็นครั้งสุดท้ายที่จะลืมแบรนด์คุณไปตลอดชีวิตและบอกชั่วลูกชั่วหลานอย่าไปโทรสั่งอย่าไปเข้าร้านคุณอีกเพราะคุณบริการและระบบแย่สุดๆๆ  ปล. พอเรายกเลิกเรียบร้อยไปหาข้าวกิน  มีเจ้าหน้าที่มาส่งพิซซ่าและแจ้งว่าทาง ผู้จัดการบอกให้มาส่งพิซซ่าให้กินฟรี ขอโทษนะคะ เอากลับไปเถอะค่ะ อยากได้บริการที่ดีที่ใส่ใจลูกค้า ลูกค้ามาอันดับ1 ไม่ได้อยากกินของฟรี #เลิกกินพิซซ่าคอมปะนีตลอดชีวิต#โคตรเสียความรู้สึก"
0,ไปปรับปรุงเว็บใหม่นะ pizza hut ยังสั่งง่ายกว่า
0,นที่ 11 เมษา 19.22 มาทานเดอะพิซซ่าคอมปะนี สาขาโลตัสพระราม 1 สั่งพาสต้าแฮมเห็ดมาทาน พนง.นำมาเสริฟ สภาพแย่มาก เหลวเป็นน้ำ ไม่ข้น ไม่มีความน่ารับประทาน เส้นแข็งเหมือนลวกไม่สุก ราคาเท่าเดิมแต่คุณภาพแย่มาก ปรับปรุงด่วน
0,ทื่อวายไปซื้อพิซซ่าสาขาย่อยใกล้ตลาดอุ้ยทา(เส้นทางเชียงใหม่-สันกำแพง)ป้ายหน้าร้านติดซื้อ 1 แถม1พอสั่งบอกไม่มีโปร หมดโปรแล้ว..ติดทำเพื่อ....อะไร..สั่งสปาเกตตี้ผัดขี้เมาทะเล สิ่งที่ได้ ไม่เหมือนในรูปเลยที่แนะนำเล๊ย..ได้กล่องแพ็คเล็กๆๆมามี เศษกุ้ง เศษปลาหมึก ....ไม่สมราคาเลย..139บาท พอเลยประทับใจไม่ลืมเลยหละ
0,สมัครบัตรสมาชิก แล้วพนักงานเขียน EXp 3-7-2017 คือเป็นใครต้องเข้าใจว่าหมดเดือน 7รึป่ะ สั่งออนไลน์แล้วไปรับเองที่หน้าร้าน พนักงานบอกบัตรหมดอายุซะงั้น ทำไมไม่บอกตั้งแต่ตอนสั่งค่ะว่าบัตรหมดอายุแล้ว จะได้ไม่ต้องเสียเงินค่าโทรศัพท์ เสียค่าน้ำมันวิ่งไปเอา แล้วได้คำตอบว่าต้องสมัครบัตรใหม่ เซ็งๆๆ แจ้ง สคบ ดีม้ะ
