class,message
0,จะเข้าไปทานพิซซ่าวันที่ 13 เม.ย.60 เวลา 19.05 น. ที่เซ็นทรัลพระราม 3 พนักงานเดินมาส่งที่โต๊ะ แล้วบอกอีกสักครู่จะมารับออเดอร์ ผ่านไปเกือบ 10 นาที พนักงานเดินมาอีกคน บอกเดี๋ยวมารับออเดอร์ แล้วก็หายไปอีก นั่งรออีก 5 นาที พนักงานไม่มีใครมารับออเดอร์สักคน จึงเดินออกจากร้าน แต่พนักงานก็ยังไม่มีใครสนใจ ถือว่าเป็นสาขาบริการที่แย่มาก
0,อยากทราบว่า เวลาปิดของ ร้านกี่โมงค่ะ คือ น้องชายจะกิน พิซซ่า ไปกินที่ซีคอน ศรีนครินทร์ 2 ทุ่ม ครึ่ง พนักงานบอกปิดแล้ว เเต่ป้ายบอกปิด 3 ทุ่มครึ่ง คืออะไร
0,บริการแย่ค่ะ call center พูดไม่ดี
0,ทำไหมคะ มากินกับลูกต้องสะบัดหน้าทำหน้ากวนตีน ไม่มีแนะนำอะไรใดๆ แดกหมดไป 1122 บาท ครั้งเดียวคะ
0,บริการเดลิเวอร์รี่โอเคนะคะ แต่สาขาเวสเกต ยอมรับว่าแย่ค่ะ
0,บัตรแพง แต่มีเงื่อนไข ไม่ร่วมขอบใหม่ ตอนทำบัตรไม่แจ้งด้วย
0,"สั่ง pizza ได้หน้าเท่าแมวดม"
0,ไปกินที่สาขากระบี่ พนักงานบริการแย่มากค่ะ
0,สั่งพิซซ่า 1 ถาด กับสปาเกตตี้ 1 จาน ที่สาขาเทสโกโลตัสกาฬสินธุ์ กินๆอยู่เจอของแถมเป็นกิ้งกือ รีบวางช้อนเลย..... คืออะไร จะอวกกกกกคะ รบกวนตรวจสอบขั้นตอนการปรุงอาหารด้วยนะคะ
0,อยากทราบว่า สั่งพิซซ่ากลับบ้าน ลูกค้านั่งรอในร้านไม่ได้ใช่ไหมคะ ต้องนั่งรอหน้าร้านอย่างเดียว หรือว่าไง
0,อยากให้ช่วยตรวจสอบให้ด้วยค่ะ วันนี้สั่งชุดพิซซ่าผ่าน 1112 มีสปาเก็ตตี้คาโบนารามาในชุดด้วย พอแกะกล่องสปาเกตตีออกทานได้กลิ่นบูดและเส้นสปาเกตตีแห้งแข็ง (ดูได้จากรูปที่ส่งมาในคอมเมนท์)เวลาเปิดทานประมาณ 7.00 pm เวลาสั่งตามบิล 4:57pm และเวลาที่ของมาส่งคือประมาณ 5:30pm อยากให้ตรวจสอบให้ด้วยค่ะว่า ทำไมอาหารที่นำมาส่งให้ถึงเป็นของบูดเสียแบบนี้ ดูแล้วไม่ใช่ของทำใหม่ๆแน่นอนค่ะ
0,ถ้ามีcall center วีนเหวี่ยงแบบนี้ไม่ต้องมีดีกว่าคะ
0,สั่งมาหลายครั้งละ มารอบนี้เจอพนักงานส่งพิซซ่ามาช้าแถมกดส่งของแล้ว. พอมาถึงมาเหวี่ยงใส่หาว่าไม่มีตังทอนเพราะเจ้าแรกให้แบงค์พัน พูดจาใหญ่โตวางมาดนักเลง มีการเถียงบอกแล้วต้องให้ผมออกไปแลกตังหรอ ทั้งที่ในแอพสั่งของก็มีระบุให้เตรียมตังทอนมาด้วย นี่สั่งของเสียตังนะไม่ใช่กราบตีนขอแดรกฟรี (ขออภัยที่ต้องพูดคำไม่สุภาพ). ความผิดคุณหรือผม. มารยาทแย่ ต่อไปนี้อย่าได้กินอีกเลยแบรนด์นี้ แถมไม่มีการขอโทษสักคำ ขยาด
0,ปรับรุ่งด่วนค่ะ พนักงานแย่มากเรียกรับOrderก็พูดแต่ว่าสักครุ่นะค่ะเพือ จานบนโต้ะก็ยังไม่ได้วางให้มา5คนจานมีแค่2ใบ อีกอย่างสั่งน้ำเป้นรีฟิลโค้ก2แก้ว แทนที่จะเอาน้ำมาเติมกับเปลี่ยนแก้วให้พนักงาน งงอะไรรึป่าวค่ะหมดอารมณ์ในการกิน พนักงานก้ช้ามากทั้งที่ลูกค้าก้ไม่เคยมี อีกอย่างเรื่องที่นั้ง มาผุ้ใหญ่4เด้ก1ให้ต่อโต๊ะยาวทำไมสุดท้ายก้อต้องกลับมานั้งโต๊ะ4ที่นั้งอยุ่ดีวุ่นวายมาก
