class,text
1,"วันนี้ขอชมพนักงานสาขาอิมพีเรียว สำโรง นะคะ นั่งรออาหารปกติ พนักงานเดินมาบอกว่า เสริฟผิดโต๊ะ เลยรับผิดชอบด้วยการแถมอีกถาด กะว่าจะมากินให้หายอยาก กลายเป็นว่าอิ่มตื้อเลย"
1,วันนี้โทรไปสั่ง Pizza ไม่ได้ดูด้วยว่าจะมาส่งกี่โมง แต่ก็คิดว่าน่าจะช้าหน่อย เพราะฝนตกหนักมาก มีโทรศัพท์แจ้งเข้ามาว่า น้องทำออเดอร์ผิด ทำให้มาส่งช้ากว่าเวลา (จริงๆช้าไปนิดเดียวเอง) ผมก็เลยแถมไปให้อีกชุดนึง ขอบคุณมากค่ะ อร่อยมาก อิ่มกว่ากำหนดเลย
1,มีความคิดสร้างสรรค์ดีมากครับ ที่สำคัญความคิดสร้างสรรค์เหล่านั้นยังสามารถนำมาใช้ได้จริง เกิดเป็นผลิตภัณฑ์ใหม่ที่ตอบโจทย์ของผู้บริโภคได้อย่างน่าสนใจ
1,ไปทานที่ร้านมาค่ะร้านสะอาดบริการดีพิซซ่า ไก่บาร์บิคิว ขนมปังกระเทียมอร่อยค่ะ
1,ขอบชีสเบอร์เกอร์อร่อยมากถึงมากที่สุด อยากให้มีตลอดไป
1,"สาขา Siam Center บริการดีครับพนักงานดูแลดีสุดพลัง"
1,แล้วพบกันใหม่ เมื่อโปร 1 แถม 1 กลับมานะ คิดถึงเสมอ
1,"สาขา ไดอาน่าหาดใหญ่ บริการดีมากๆๆๆค่ะ :Dออร์เดอร์มีปัญหา ผจก.ช่วยประสานงานให้กับคอลเซ็นเตอร์พูดจาสุภาพมากๆด้วย มาส่งไว รสชาติดี อบกำลังได้ที่ค่ะชื่นชม"
1,กินครบ 32 หน้าละก็ยังไม่เบื่อ สงใสให้ถาม
1,วันนี้สั่งพิซซ่ากับซี่โครงหมูอบของสาขามหาชัยค่ะ แล้วร้านลืมซอสซี่โครงหมูอบ ก็เลยโทรบอกว่าจะเอามาให้ใหม่ ปรากฏว่ารอบแรกมาก็ลืมอีก เขาเลยบอกว่าจะเอามาให้อีกรอบ ด้วยความที่ไม่เคยกินซี่โครงหมูอบของที่นี่เลยไม่รู้ว่าการกินโดยไม่มีซอสจะอร่อยแค่ไหนก็เลยรอ แล้วรอบสองเขาก็เอามาให้จริงๆ แม้จะทุลักทุเลนิดหน่อย แต่ก็ดีใจที่พิซซ่าคอมเปนีมีใจบริการดีมากๆ ขอให้ดีแบบนี้ตลอดไป แล้วจะอุดหนุนบ่อยๆ นะคะ
1,อาหารร้อนฝนตกก็ยังมาส่งชอบๆเวลาหิวก็ยังนึกถึงเลยครับ
1,"ชอบมากค่ะสาขา union mall พนักงานน่ารักมากบริการดี"
1,วันนี้ได้ไปฉลองวันเกิดให้หลานที่ร้านสาขา เซนทรัล บางนา มีเด็กๆ ไปรวมกัน 4 คน วัยกำลังซน อยากขอบคุณพนักงานที่ดูแลดีมาก รับออเดอร์อย่างสุภาพ อดทน ช่วนแก้ปัญหาเด็กๆ วิ่งซนให้ด้วยการเอาชุดระบายสีมาให้ พนักงานน่ารักกันทุกคนเลยค่ะ แต่อยากชื่นชมเป็นพิเศษสำหรับคุณ ปัญญาฤทธิ์ วงศ์สมบัติ ช่วยแก้ปัญหาและรับออเดอร์อย่างดี อุดหนุนร้านนี้หลายครั้ง ต่างสาขา แต่หนนี้ประทับใจเป็นพิเศษค่ะ น้องบริการดีมาก
1,ผมชอบเดอะพิซซ่ามากครับ เป็นที่ที่เรานัดเจอเพื่อนได้ดี แต่จะรักเลย ถ้า บัตรสมาชิก 1แถม1 สามารถทานที่ร้านได้ครับ อยากรู้เหตุผลทำไม ไม่ให้ทานที่ร้าน ทั้งๆที่ถ้าทานที่ร้านเราก็มีโอกาสสั่งเมนูอื่นทานด้วย
1,ส่งเร็ว ส่งไว ส่งทุกวัน ส่งทุกที่ ส่งทุกสภาพอากาศ ส่งทุกเทศกาล สั่งเลย! 1112
1,ชื่นชมพนักงานสาขา Big C สะพานควายค่ะ สั่งแบบหนา ได้แบบบาง เราบอกไม่เป็นไร แต่กลับได้แบบหนามาอีกถาด กินจนอืดเลย พนักงานน่ารักทุกคน บริการดีมาก กินร้านอาหารมาก็มาก ถ้าผิดบอกไม่เป็นไร คือเลยตามเลย แต่นี่คือ ดีอ่ะ ประทับใจมากๆ
1,ขอชื่นชมพนักงานส่งพิซซ่าและพนักงานรับออเด้อมากค่ะ ส่งที่อยุธยา เก่งมากที่หาบ้านเราเจอ เราสั่งอย่างอื่นไม่เคยมาส่งให้ เพราะหาบ้านเราไม่เจอ บ้านเราก้อไม่ได้บ้านนอกนะ แต่ขอชื่นชมค่ะ เก่งมีมารยาท รวดเร็ว ใจเยน ขอบคุนจิงๆๆค่ะ
